strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
127_PP099991_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099991	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099991	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
129_PP099993_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099993	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099993	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
130_PP099994_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099994	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099994	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
133_PP099997_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099997	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099997	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
110_PP100000_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100000	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100000	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
113_PP100002_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100002	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100002	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
103_PP100003_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100003	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100003	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
102_PP100004_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100004	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100004	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
111_PP100006_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100006	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100006	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
119_PP100011_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100011	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100011	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
108_PP100012_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100012	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100012	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
114_PP100016_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100016	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100016	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
105_PP100018_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100018	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100018	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
79_PP100022_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100022	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100022	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
82_PP100025_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100025	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100025	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
85_PP100028_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100028	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100028	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
86_PP100029_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100029	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100029	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
89_PP100031_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100031	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100031	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
91_PP100033_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100033	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100033	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
92_PP100034_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100034	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100034	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
94_PP100036_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100036	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100036	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
95_PP100037_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100037	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100037	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
99_PP100040_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100040	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100040	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
62_PP100045_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100045	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100045	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
51_PP100046_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100046	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100046	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
55_PP100047_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100047	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100047	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
70_PP100060_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100060	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100060	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
64_PP100063_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100063	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100063	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
63_PP100065_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100065	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100065	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
73_PP100066_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100066	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100066	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
72_PP100067_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100067	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100067	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
42_PP100071_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100071	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100071	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
25_PP100072_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100072	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100072	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
21_PP100077_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100077	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100077	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
36_PP100078_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100078	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100078	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
35_PP100080_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100080	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100080	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
44_PP100082_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100082	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100082	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
11_PP100084_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100084	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100084	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
3_PP100093_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100093	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100093	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
2_PP100095_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100095	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100095	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
16_PP100096_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100096	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100096	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
19_PP100097_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100097	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100097	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
13_PP100111_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100111	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100111	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
4_PP100113_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP100113	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100113	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
MBC024_PP386309_2018-02-05	Human alphaherpesvirus 2	HSV2_gH	?	PP386309	2018-02-05	Spain	Europe	Spain	?	Mendoza et al	https://www.ncbi.nlm.nih.gov/nuccore/PP386309	Direct Submission	Submitted (23-FEB-2024) I+D, Molecular Diagnostics, Vircell S.A.,	?
2011-31810_MH790550_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790550	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790550	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-35042_MH790552_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790552	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790552	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2005-14172_MH790553_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790553	2005-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790553	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2004-41447_MH790555_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790555	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790555	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2005-48390_MH790558_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790558	2005-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790558	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2012-5456_MH790559_2012-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790559	2012-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790559	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2003-27026_MH790561_2003-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790561	2003-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790561	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2008-29150_MH790564_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790564	2008-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790564	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2010-1114_MH790569_2010-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790569	2010-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790569	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2004-56880_MH790570_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790570	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790570	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2004-46095_MH790571_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790571	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790571	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1998-7832_MH790572_1998-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790572	1998-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790572	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-14064_MH790573_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790573	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790573	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2007-22053_MH790577_2007-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790577	2007-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790577	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2018-3110_MH790578_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790578	2006-XX-XX	Senegal	Africa	Senegal	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790578	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1997-3671_MH790580_1997-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790580	1997-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790580	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-5095_MH790581_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790581	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790581	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2018-5934_MH790582_2019-03-06	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790582	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790582	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2012-10336_MH790584_2012-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790584	2012-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790584	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2016-8369_MH790586_2016-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790586	2016-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790586	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2004-2897_MH790589_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790589	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790589	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-15771CAM_MH790590_2019-03-06	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790590	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790590	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2008-36694_MH790592_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790592	2008-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790592	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-37246_MH790601_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790601	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790601	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2015-27216_MH790606_2015-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790606	2015-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790606	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2005-35403_MH790607_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790607	2005-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790607	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-16337CAM_MH790612_2019-03-06	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790612	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790612	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1998-8243_MH790614_1998-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790614	1998-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790614	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-21768_MH790618_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790618	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790618	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-22594_MH790620_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790620	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790620	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1998-5748_MH790621_1998-XX-XX	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	MH790621	1998-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790621	HSV2 whole genome sequences from clinical isolates	Unpublished	?
