strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
127_PP099991_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP099991	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099991	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
132_PP099996_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP099996	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099996	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
117_PP099999_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP099999	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099999	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
102_PP100004_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100004	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100004	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
104_PP100014_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100014	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100014	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
114_PP100016_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100016	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100016	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
79_PP100022_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100022	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100022	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
81_PP100024_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100024	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100024	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
92_PP100034_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100034	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100034	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
60_PP100044_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100044	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100044	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
69_PP100058_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100058	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100058	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
58_PP100061_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100061	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100061	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
53_PP100062_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100062	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100062	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
64_PP100063_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100063	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100063	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
63_PP100065_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100065	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100065	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
1_PP100069_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100069	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100069	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
22_PP100081_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100081	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100081	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
44_PP100082_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100082	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100082	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
7_PP100087_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100087	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100087	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
16_PP100096_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100096	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100096	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
40_PP100102_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100102	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100102	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
39_PP100105_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100105	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100105	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
5_PP100112_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100112	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100112	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
27_PP100116_2024-06-10	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	PP100116	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100116	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
CT_9_MT364888_2020-08-23	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MT364888	2020-08-23	?	?	?	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/MT364888	Herpes Simplex Virus Mistyping due to HSV-1 x HSV-2 Interspecies	Viruses 12 (8), E860 (2020)	https://pubmed.ncbi.nlm.nih.gov/32781734
2012-15948_MH790556_2012-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790556	2012-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790556	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2010-1114_MH790569_2010-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790569	2010-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790569	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-15840CAM_MH790576_2019-03-06	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790576	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790576	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-37885_MH790587_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790587	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790587	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-16337CAM_MH790612_2019-03-06	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790612	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790612	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2004-43128_MH790615_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790615	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790615	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-21768_MH790618_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790618	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790618	HSV2 whole genome sequences from clinical isolates	Unpublished	?
1999-10594_MH790629_1999-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790629	1999-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790629	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2010-8179_MH790635_2010-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790635	2010-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790635	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2013-3040_MH790641_2013-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790641	2013-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790641	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-16150CAM_MH790658_2019-03-06	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH790658	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790658	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-15095_MH899846_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MH899846	2006-XX-XX	Cameroon	Africa	Cameroon	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH899846	HSV2 whole genome sequences from clinical isolates	Unpublished	?
CNS12_MK105997_2019-01-30	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MK105997	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK105997	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
SEM02_MK106002_2019-01-30	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MK106002	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK106002	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
SEM18_MK106004_2019-01-30	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MK106004	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK106004	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
2005-37403_MF621254_2023-10-27	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MF621254	2023-10-27	?	?	?	BioProject: PRJNA338014	Johnston et al	https://www.ncbi.nlm.nih.gov/nuccore/MF621254	Dual-strain genital herpes simplex virus type 2 (HSV-2) infection	PLoS Med. 14 (12), e1002475 (2017)	https://pubmed.ncbi.nlm.nih.gov/29281620
2009-4463_MF621258_2023-10-27	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	MF621258	2023-10-27	?	?	?	BioProject: PRJNA338014	Johnston et al	https://www.ncbi.nlm.nih.gov/nuccore/MF621258	Dual-strain genital herpes simplex virus type 2 (HSV-2) infection	PLoS Med. 14 (12), e1002475 (2017)	https://pubmed.ncbi.nlm.nih.gov/29281620
HSV2-H12211_KY922725_2017-09-27	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY922725	2017-09-27	?	?	?	?	Bowen et al	https://www.ncbi.nlm.nih.gov/nuccore/KY922725	Genome sequence of seven herpes simplex virus 2 clinical isolates	Unpublished	?
HSV2-H12212_KY922726_2017-09-27	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY922726	2017-09-27	?	?	?	?	Bowen et al	https://www.ncbi.nlm.nih.gov/nuccore/KY922726	Genome sequence of seven herpes simplex virus 2 clinical isolates	Unpublished	?
2-15_KY223570_2017-05-08	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY223570	2017-05-08	USA	North America	USA	?	Minaya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY223570	The herpevac trial for women: Sequence analysis of glycoproteins	PLoS ONE 12 (4), E0176687 (2017)	https://pubmed.ncbi.nlm.nih.gov/28448558
2-18_KY223572_2017-05-08	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY223572	2017-05-08	USA	North America	USA	?	Minaya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY223572	The herpevac trial for women: Sequence analysis of glycoproteins	PLoS ONE 12 (4), E0176687 (2017)	https://pubmed.ncbi.nlm.nih.gov/28448558
2-26_KY223578_2017-05-08	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY223578	2017-05-08	USA	North America	USA	?	Minaya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY223578	The herpevac trial for women: Sequence analysis of glycoproteins	PLoS ONE 12 (4), E0176687 (2017)	https://pubmed.ncbi.nlm.nih.gov/28448558
2-47_KY223593_2017-05-08	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY223593	2017-05-08	USA	North America	USA	?	Minaya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY223593	The herpevac trial for women: Sequence analysis of glycoproteins	PLoS ONE 12 (4), E0176687 (2017)	https://pubmed.ncbi.nlm.nih.gov/28448558
2-50_KY223596_2017-05-08	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KY223596	2017-05-08	USA	North America	USA	?	Minaya et al	https://www.ncbi.nlm.nih.gov/nuccore/KY223596	The herpevac trial for women: Sequence analysis of glycoproteins	PLoS ONE 12 (4), E0176687 (2017)	https://pubmed.ncbi.nlm.nih.gov/28448558
2006-19390_KX574862_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KX574862	2005-XX-XX	Zambia	Africa	Zambia	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574862	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2007-39712_KX574880_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KX574880	2006-XX-XX	South Africa	Africa	South Africa	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574880	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2009-4550_KX574893_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KX574893	2008-XX-XX	Kenya	Africa	Kenya	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574893	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2009-2198_KX574905_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KX574905	2006-XX-XX	Zambia	Africa	Zambia	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574905	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2012-9333_KX574906_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KX574906	2011-XX-XX	Uganda	Africa	Uganda	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574906	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
B^3x2-1_KU310662_2015-01-01	Human alphaherpesvirus 2	HSV2_gD	Chlorocebus sabaeus	KU310662	2015-01-01	USA	North America	USA	?	Petro et al	https://www.ncbi.nlm.nih.gov/nuccore/KU310662	HSV-2 DeltagD elicits FcgammaR-effector antibodies that protect	JCI Insight 1 (12) (2016) In press	https://pubmed.ncbi.nlm.nih.gov/27536733
pat1_KF588418_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588418	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588418	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat4_KF588421_2012-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588421	2012-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588421	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat6_KF588423_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588423	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588423	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat8_KF588425_2009-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588425	2009-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588425	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat10_KF588427_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588427	2006-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588427	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat11_KF588428_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	KF588428	2006-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588428	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
Pt11_JQ956360_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	JQ956360	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ956360	Genotypic characterization of gG, gD and gB glycoproteins from	Unpublished	?
Pt21_JQ956369_2009-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	JQ956369	2009-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ956369	Genotypic characterization of gG, gD and gB glycoproteins from	Unpublished	?
Pt25_JQ956373_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	JQ956373	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ956373	Genotypic characterization of gG, gD and gB glycoproteins from	Unpublished	?
Pt26_JQ956374_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gD	Homo sapiens	JQ956374	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ956374	Genotypic characterization of gG, gD and gB glycoproteins from	Unpublished	?
MS_ATCC_VR-540_EU445527_2008-03-01	Human alphaherpesvirus 2	HSV2_gD	?	EU445527	2008-03-01	?	?	?	?	Meseda et al	https://www.ncbi.nlm.nih.gov/nuccore/EU445527	Prime-boost immunization with DNA and modified vaccinia virus	J. Infect. Dis. 186 (8), 1065-1073 (2002)	https://pubmed.ncbi.nlm.nih.gov/12355355
333_variant_AC2_EU018092_2007-11-29	Human alphaherpesvirus 2	HSV2_gD	?	EU018092	2007-11-29	?	?	?	?	Adamiak et al	https://www.ncbi.nlm.nih.gov/nuccore/EU018092	Herpes simplex virus type 2 glycoprotein G is targeted by the	J. Virol. 81 (24), 13424-13434 (2007)	https://pubmed.ncbi.nlm.nih.gov/17928351
333_variant_A6_EU018093_2007-11-29	Human alphaherpesvirus 2	HSV2_gD	?	EU018093	2007-11-29	?	?	?	?	Adamiak et al	https://www.ncbi.nlm.nih.gov/nuccore/EU018093	Herpes simplex virus type 2 glycoprotein G is targeted by the	J. Virol. 81 (24), 13424-13434 (2007)	https://pubmed.ncbi.nlm.nih.gov/17928351
333_variant_AC1_EU018124_2007-11-29	Human alphaherpesvirus 2	HSV2_gD	?	EU018124	2007-11-29	?	?	?	?	Adamiak et al	https://www.ncbi.nlm.nih.gov/nuccore/EU018124	Herpes simplex virus type 2 glycoprotein G is targeted by the	J. Virol. 81 (24), 13424-13434 (2007)	https://pubmed.ncbi.nlm.nih.gov/17928351
2589_AY779750_2009-04-14	Human alphaherpesvirus 2	HSV2_gD	?	AY779750	2009-04-14	USA	North America	USA	?	Muller et al	https://www.ncbi.nlm.nih.gov/nuccore/AY779750	Herpes simplex virus type 2 tegument proteins contain subdominant	J. Gen. Virol. 90 (PT 5), 1153-1163 (2009)	https://pubmed.ncbi.nlm.nih.gov/19264627
16293_AY779754_2009-04-14	Human alphaherpesvirus 2	HSV2_gD	?	AY779754	2009-04-14	USA	North America	USA	?	Muller et al	https://www.ncbi.nlm.nih.gov/nuccore/AY779754	Herpes simplex virus type 2 tegument proteins contain subdominant	J. Gen. Virol. 90 (PT 5), 1153-1163 (2009)	https://pubmed.ncbi.nlm.nih.gov/19264627
333_M14886_2016-07-25	Human alphaherpesvirus 2	HSV2_gD	?	M14886	2016-07-25	?	?	?	?	Hodgman et al	https://www.ncbi.nlm.nih.gov/nuccore/M14886	The herpes simplex virus type 2 equivalent of the herpes simplex	Virology 153 (1), 1-11 (1986)	https://pubmed.ncbi.nlm.nih.gov/3016980
